 ,Area,Mean,Min,Max,Angle,Length
1,9,119.889,111.000,130.000,0.000,8.000
2,9,126.667,119.000,138.000,0.000,8.000
3,6,147.667,146.000,151.000,0.000,5.000
4,9,134.222,126.000,155.000,0.000,8.000
5,7,151.714,150.000,158.000,0.000,6.000
6,9,149.809,147.625,152.500,0.000,7.500
7,9,167.222,166.000,169.000,0.000,8.000
8,10,143.200,138.000,154.000,0.000,9.000
9,7,144.714,141.000,148.000,0.000,6.000
10,9,133.889,128.000,153.000,0.000,8.000
11,10,146.935,141.019,160.472,2.045,9.339
12,9,122.361,117.750,136.000,-7.125,8.062
13,11,131.009,123.413,143.250,-5.906,9.718
14,5,156.400,155.000,159.000,0.000,4.000
15,10,144.200,140.000,154.000,0.000,9.000
16,10,159.756,158.000,164.000,-12.529,9.220
17,10,146.381,142.935,149.000,10.008,8.631
18,11,129.825,123.250,145.500,-3.013,9.513
19,11,161.455,159.000,166.000,0.000,10.000
20,8,146.161,142.143,152.000,-15.945,7.280
21,11,159.600,157.600,163.000,-11.310,10.198
22,11,148.000,142.000,161.000,0.000,10.000
23,10,161.667,157.889,168.000,173.660,9.055
24,8,152.500,148.000,158.000,0.000,7.000
25,10,136.600,130.000,148.000,0.000,9.000
26,6,152.833,152.000,154.000,0.000,5.000
27,9,136.333,129.000,147.000,0.000,8.000
28,10,142.200,137.000,152.000,0.000,9.000
29,12,139.500,130.000,159.000,0.000,11.000
30,9,152.333,151.000,156.000,0.000,8.000
31,10,142.600,137.000,148.000,0.000,9.000
32,7,148.286,145.000,157.000,0.000,6.000
33,12,149.667,143.000,161.000,0.000,11.000
34,10,158.578,156.556,164.000,6.340,9.055
35,11,142.818,135.000,156.000,0.000,10.000
36,10,157.400,149.000,176.000,0.000,9.000
37,13,147.154,138.000,163.000,0.000,12.000
38,9,154.778,152.000,159.000,0.000,8.000
39,9,160.347,158.500,163.000,-7.125,8.062
40,10,152.567,148.333,156.000,6.340,9.055
41,7,145.286,138.000,160.000,-9.462,6.083
42,12,140.025,133.455,153.000,21.801,10.770
43,11,147.646,140.167,153.833,1.909,10.006
44,11,133.309,124.000,151.000,5.711,10.050
45,10,147.533,142.333,155.000,12.529,9.220
46,12,123.326,111.000,139.000,10.305,11.180
47,9,156.000,150.000,169.000,0.000,8.000
48,10,163.200,162.000,164.000,0.000,9.000
49,11,145.727,139.000,152.000,0.000,10.000
50,15,162.470,158.500,166.125,17.176,14.392
51,17,127.678,107.509,161.875,1.348,15.942
52,12,160.637,158.045,164.500,25.346,10.512
53,13,142.331,131.444,169.778,3.270,11.686
54,7,158.714,156.000,161.000,0.000,6.000
55,30,136.239,117.000,185.000,-1.975,29.017
56,11,158.909,154.500,169.000,-5.711,10.050
57,12,165.379,164.000,167.091,5.194,11.045
58,10,157.900,156.000,162.000,0.000,9.000
59,10,166.911,165.000,167.889,12.529,9.220
60,10,154.844,150.222,167.000,6.340,9.055
61,8,161.571,159.286,163.571,8.130,7.071
62,13,152.715,148.000,162.500,23.629,11.643
63,8,146.500,143.000,152.000,0.000,7.000
64,13,145.347,138.630,156.667,-1.637,11.671
65,20,165.000,163.000,169.000,0.000,19.000
66,13,155.615,153.000,161.000,0.000,12.000
67,10,133.000,128.000,139.000,0.000,9.000
68,14,143.835,138.231,150.000,-8.746,13.153
69,11,161.818,158.000,165.000,0.000,10.000
70,14,155.758,153.000,159.000,4.399,13.038
71,15,146.333,141.000,154.000,0.000,14.000
72,14,159.478,155.000,168.000,4.399,13.038
73,13,149.077,145.000,156.000,0.000,12.000
74,12,150.985,143.727,163.000,5.194,11.045
75,10,164.100,163.000,167.000,0.000,9.000
76,10,158.800,155.000,162.000,0.000,9.000
77,16,152.212,144.067,166.000,-7.595,15.133
78,14,148.286,142.000,158.000,0.000,13.000
79,12,165.333,163.000,167.000,0.000,11.000
80,11,141.182,135.000,153.000,0.000,10.000
81,15,140.267,130.000,153.500,6.116,14.080
82,13,149.341,144.500,159.000,0.000,11.500
83,19,162.284,157.333,171.000,-3.180,18.028
84,12,160.500,159.000,163.000,0.000,11.000
85,16,144.562,137.000,161.000,0.000,15.000
86,13,165.538,163.000,168.000,180.000,12.000
87,13,152.981,149.000,161.000,4.764,12.042
88,14,148.088,137.154,169.000,-8.746,13.153
89,15,139.943,130.286,152.000,-4.086,14.036
90,9,163.111,160.000,166.000,0.000,8.000
91,13,152.028,148.972,159.000,19.983,11.705
92,13,150.010,146.500,155.000,0.000,11.500
93,9,159.778,156.000,163.000,0.000,8.000
94,14,145.786,140.000,155.000,8.746,13.153
95,12,140.159,134.727,147.000,15.255,11.402
96,12,151.208,148.182,156.000,-7.765,11.102
97,12,157.292,155.159,162.500,0.000,10.500
98,13,155.451,151.500,161.000,-4.970,11.543
99,12,135.707,129.364,149.500,10.784,10.689
100,13,159.038,155.500,165.000,19.983,11.705
101,11,145.636,140.000,151.000,0.000,10.000
102,11,161.545,159.000,167.000,0.000,10.000
103,12,143.347,137.318,152.833,15.255,11.402
104,9,156.556,155.000,160.000,0.000,8.000
105,9,144.556,139.000,153.000,0.000,8.000
106,7,151.619,148.667,155.000,18.435,6.325
107,10,160.533,158.333,163.000,18.435,9.487
108,10,152.800,150.111,156.000,12.529,9.220
109,12,139.818,135.000,147.333,28.072,11.333
110,14,143.659,135.672,154.833,1.507,12.671
111,12,157.831,155.227,161.000,5.440,10.548
112,12,160.652,159.000,163.000,-5.194,11.045
113,12,136.417,126.000,157.000,0.000,11.000
114,7,153.286,150.000,155.000,0.000,6.000
115,9,129.917,123.500,140.250,0.000,8.000
116,8,156.509,155.500,157.500,8.130,7.071
117,8,161.393,159.857,162.714,-8.130,7.071
118,13,132.641,117.333,160.000,-9.462,12.166
119,10,121.200,113.000,137.000,0.000,9.000
120,11,149.773,144.300,160.000,-5.711,10.050
121,13,136.538,125.000,159.000,0.000,12.000
122,9,150.778,146.500,160.000,14.036,8.246
123,14,145.500,140.000,158.000,0.000,13.000
124,11,144.218,136.800,160.000,-11.310,10.198
125,13,137.013,129.833,152.000,-9.462,12.166
126,10,155.500,154.000,159.000,0.000,9.000
127,13,154.686,151.333,159.000,4.764,12.042
128,9,163.472,162.250,164.000,-7.125,8.062
129,9,160.556,158.000,163.000,0.000,8.000
130,10,152.700,149.000,158.000,0.000,9.000
131,10,156.833,155.000,161.000,6.340,9.055
132,10,156.489,152.333,164.000,6.340,9.055
133,12,151.833,148.000,159.000,0.000,11.000
134,14,168.962,164.846,173.000,4.399,13.038
135,8,152.875,151.000,158.000,0.000,7.000
136,13,148.462,144.000,157.000,0.000,12.000
137,12,158.750,154.000,168.000,0.000,11.000
138,14,144.154,137.154,160.000,4.399,13.038
139,13,143.308,137.000,152.000,9.462,12.166
140,10,132.622,127.556,147.000,6.340,9.055
141,10,147.900,142.556,161.000,6.340,9.055
142,11,159.091,157.000,161.000,-11.310,10.198
143,9,158.528,151.000,165.000,172.875,8.062
144,15,138.733,130.000,150.000,0.000,14.000
145,11,149.509,142.900,161.000,-16.699,10.440
146,12,141.682,134.364,160.000,5.194,11.045
147,11,125.902,117.540,146.000,-23.962,9.849
148,9,149.111,146.000,153.000,0.000,8.000
149,15,143.562,134.000,162.000,-8.130,14.142
150,13,141.077,134.000,158.000,0.000,12.000
151,9,154.333,149.000,164.000,0.000,8.000
152,14,153.714,149.000,164.000,0.000,13.000
153,10,142.522,135.556,152.000,-6.340,9.055
154,14,165.676,164.000,168.000,-4.399,13.038
155,12,140.917,132.000,159.000,0.000,11.000
156,13,124.462,111.000,147.000,0.000,12.000
157,12,148.500,138.000,162.000,0.000,11.000
158,9,160.264,157.000,165.000,-7.125,8.062
159,11,146.909,139.000,162.000,0.000,10.000
160,9,157.333,151.000,167.000,0.000,8.000
161,10,155.700,151.000,166.000,6.340,9.055
162,9,144.889,139.000,156.000,0.000,8.000
163,13,137.346,123.000,170.000,14.036,12.369
